carte,semn1,semn2,semn3
The Fool,Inocență,Noi începuturi,Risc
The Magician,Voina,Manifestare,Creație
The High Priestess,Intuiție,Secrete,Înțelepciune
The Empress,Abundență,Fertilitate,Grijă
The Emperor,Autoritate,Stabilitate,Structură
The Hierophant,Tradiție,Credință,Învățătură
The Lovers,Relație,Alegere,Armonie
The Chariot,Voință,Victorie,Control
Strength,Curaj,Blândețe,Putere interioară
The Hermit,Reflecție,Izolare,Căutare interioară
Wheel of Fortune,Destin,Schimbare,Cicluri
Justice,Echitate,Adevăr,Decizie
The Hanged Man,Sacrificiu,Răbdare,Perspectivă
Death,Transformare,Sfârșit,Reînnoire
Temperance,Echilibru,Armonie,Moderație
The Devil,Dependență,Iluzie,Control
The Tower,Prăbușire,Revelație,Schimbare bruscă
The Star,Speranță,Inspirație,Vindecare
The Moon,Confuzie,Iluzie,Intuiție
The Sun,Bucurie,Claritate,Vitalitate
Judgement,Renaștere,Reflecție,Eliberare
The World,Împlinire,Întregire,Succes
Ace of Wands,Inspirație,Noi începuturi,Potențial
Two of Wands,Planificare,Decizii,Descoperire
Three of Wands,Expansiune,Așteptare,Progres
Four of Wands,Sărbătoare,Stabilitate,Bucurie
Five of Wands,Conflict,Competiție,Provocare
Six of Wands,Succes,Recunoaștere,Victorie
Seven of Wands,Apărare,Curaj,Rezistență
Eight of Wands,Viteză,Comunicare,Schimbare rapidă
Nine of Wands,Perseverență,Oboseală,Protecție
Ten of Wands,Povară,Responsabilitate,Stres
Page of Wands,Curiozitate,Entuziasm,Explorare
Knight of Wands,Aventură,Impulsivitate,Energetic
Queen of Wands,Încredere,Independență,Căldură
King of Wands,Lider,Viziune,Influență
Ace of Cups,Iubire,Empatie,Început emoțional
Two of Cups,Parteneriat,Dragoste,Unire
Three of Cups,Prietenie,Sărbătoare,Comunitate
Four of Cups,Nemulțumire,Reflecție,Plictiseală
Five of Cups,Regret,Pierdere,Dezamăgire
Six of Cups,Amintiri,Inocență,Reîntoarcere
Seven of Cups,Fantezie,Iluzie,Alegere
Eight of Cups,Renunțare,Căutare,Tranziție
Nine of Cups,Dorințe împlinite,Satisfacție,Plăcere
Ten of Cups,Fericire,Armonie,Familie
Page of Cups,Intuiție,Inocență,Oferire
Knight of Cups,Romantism,Farmec,Idealism
Queen of Cups,Sensibilitate,Empatie,Susținere
King of Cups,Echilibru emoțional,Înțelepciune,Compasiune
Ace of Swords,Claritate,Adevăr,Revelație
Two of Swords,Indecizie,Blocaj,Negare
Three of Swords,Durere,Trădare,Inimă frântă
Four of Swords,Odihnă,Recuperare,Pauză
Five of Swords,Conflict,Pierdere,Înșelare
Six of Swords,Tranziție,Vindecare,Călătorie
Seven of Swords,Furt,Tactică,Înșelătorie
Eight of Swords,Restricție,Frică,Blocaj mental
Nine of Swords,Anxietate,Vinovăție,Insomnie
Ten of Swords,Trădare,Sfârșit dureros,Eliberare
Page of Swords,Curiozitate,Vigilență,Observare
Knight of Swords,Determinare,Impulsivitate,Adevăr tăios
Queen of Swords,Claritate,Independență,Inteligență
King of Swords,Autoritate,Rațiune,Judecată dreaptă
Ace of Pentacles,Oportunitate,Prosperitate,Fundament solid
Two of Pentacles,Echilibru,Flexibilitate,Adaptare
Three of Pentacles,Colaborare,Muncă în echipă,Talent
Four of Pentacles,Avaritie,Siguranță,Control
Five of Pentacles,Sărăcie,Izolare,Necazuri
Six of Pentacles,Generozitate,Ajutor,Echilibru financiar
Seven of Pentacles,Răbdare,Investiție,Așteptare
Eight of Pentacles,Muncă,Dedicare,Perfecționare
Nine of Pentacles,Independență,Recompensă,Abundență
Ten of Pentacles,Moștenire,Tradiție,Familie
Page of Pentacles,Începător,Învățare,Oportunitate
Knight of Pentacles,Responsabilitate,Stabilitate,Perseverență
Queen of Pentacles,Practică,Generozitate,Siguranță
King of Pentacles,Succes material,Stabilitate,Putere financiară
